DATE,FORECLOSURES
2000-01-01,1.95
2000-04-01,1.97
2000-07-01,2.09
2000-10-01,2.23
2001-01-01,2.34
2001-04-01,2.41
2001-07-01,2.18
2001-10-01,2.25
2002-01-01,2.24
2002-04-01,2.16
2002-07-01,2.1
2002-10-01,2.0
2003-01-01,1.97
2003-04-01,1.83
2003-07-01,1.73
2003-10-01,1.76
2004-01-01,1.65
2004-04-01,1.6
2004-07-01,1.55
2004-10-01,1.42
2005-01-01,1.41
2005-04-01,1.55
2005-07-01,1.59
2005-10-01,1.64
2006-01-01,1.61
2006-04-01,1.62
2006-07-01,1.74
2006-10-01,1.92
2007-01-01,2.08
2007-04-01,2.3
2007-07-01,2.71
2007-10-01,3.1
2008-01-01,3.68
2008-04-01,4.36
2008-07-01,5.27
2008-10-01,6.58
2009-01-01,8.02
2009-04-01,8.58
2009-07-01,9.46
2009-10-01,10.36
2010-01-01,11.54
2010-04-01,11.08
2010-07-01,10.61
2010-10-01,10.37
2011-01-01,10.33
2011-04-01,10.54
2011-07-01,10.54
2011-10-01,10.26
2012-01-01,10.34
2012-04-01,10.45
2012-07-01,10.47
2012-10-01,10.01
2013-01-01,9.74
2013-04-01,9.32
2013-07-01,8.65
2013-10-01,8.29
2014-01-01,7.78
2014-04-01,7.43
2014-07-01,7.05
2014-10-01,6.5
2015-01-01,6.24
2015-04-01,5.82
2015-07-01,5.39
2015-10-01,5.1
2016-01-01,4.78
2016-04-01,4.59
2016-07-01,4.39
2016-10-01,4.15
2017-01-01,3.9
2017-04-01,3.68
2017-07-01,3.64
2017-10-01,3.57
2018-01-01,3.49
2018-04-01,3.22
2018-07-01,2.97
2018-10-01,2.83
2019-01-01,2.7
2019-04-01,2.61
2019-07-01,2.42
2019-10-01,2.34
2020-01-01,2.36
2020-04-01,2.55
2020-07-01,2.8
2020-10-01,2.74
