DATE,UNEM_RATE
2000-01-01,4.03
2000-04-01,3.93
2000-07-01,4.0
2000-10-01,3.9
2001-01-01,4.23
2001-04-01,4.4
2001-07-01,4.83
2001-10-01,5.5
2002-01-01,5.7
2002-04-01,5.83
2002-07-01,5.73
2002-10-01,5.87
2003-01-01,5.87
2003-04-01,6.13
2003-07-01,6.13
2003-10-01,5.83
2004-01-01,5.7
2004-04-01,5.6
2004-07-01,5.43
2004-10-01,5.43
2005-01-01,5.3
2005-04-01,5.1
2005-07-01,4.97
2005-10-01,4.97
2006-01-01,4.73
2006-04-01,4.63
2006-07-01,4.63
2006-10-01,4.43
2007-01-01,4.5
2007-04-01,4.5
2007-07-01,4.67
2007-10-01,4.8
2008-01-01,5.0
2008-04-01,5.33
2008-07-01,6.0
2008-10-01,6.87
2009-01-01,8.27
2009-04-01,9.3
2009-07-01,9.63
2009-10-01,9.93
2010-01-01,9.83
2010-04-01,9.63
2010-07-01,9.47
2010-10-01,9.5
2011-01-01,9.03
2011-04-01,9.07
2011-07-01,9.0
2011-10-01,8.63
2012-01-01,8.27
2012-04-01,8.2
2012-07-01,8.03
2012-10-01,7.8
2013-01-01,7.73
2013-04-01,7.53
2013-07-01,7.23
2013-10-01,6.93
2014-01-01,6.67
2014-04-01,6.2
2014-07-01,6.07
2014-10-01,5.7
2015-01-01,5.53
2015-04-01,5.43
2015-07-01,5.1
2015-10-01,5.03
2016-01-01,4.9
2016-04-01,4.93
2016-07-01,4.9
2016-10-01,4.77
2017-01-01,4.57
2017-04-01,4.4
2017-07-01,4.3
2017-10-01,4.13
2018-01-01,4.03
2018-04-01,3.93
2018-07-01,3.77
2018-10-01,3.83
2019-01-01,3.87
2019-04-01,3.67
2019-07-01,3.6
2019-10-01,3.6
2020-01-01,3.8
2020-04-01,13.07
2020-07-01,8.8
2020-10-01,6.77
